Epoch, Learning Rate, Train Loss, Validation Dice
1, 0.0001, 0.09038474759606199, 0.39330291748046875
2, 0.0001, 0.08345368048392517, 0.4100950360298157
3, 0.0001, 0.07960487271290642, 0.4363826513290405
4, 0.0001, 0.07747589134505205, 0.46231862902641296
5, 0.0001, 0.0756658311268688, 0.4965861439704895
6, 0.0001, 0.07441379978978808, 0.4948853850364685
7, 0.0001, 0.07321633521483674, 0.503192126750946
8, 0.0001, 0.07208053918033473, 0.5194242596626282
